koer,kohtunik,grade,predicted
Apollo Bernteam,Laurent Pichard,4.0,1
Apollo Bernteam,Olga Morozova,13.0,1
Apollo Bernteam,Nikolina Davidovska,4.0,1
Apollo Bernteam,Augustin Ionescu,13.0,1
Apollo Bernteam,Andrew Brace,4.0,1
Apollo Bernteam,Miklos Levente,13.0,1
Apollo Bernteam,Tijana Konrad,13.0,1
Apollo Bernteam,Simon Rooney,13.0,1
Apollo Bernteam,Maire Tõnurist,13.0,1
Apollo Bernteam,Søren Wesseltoft,13.0,1
Apollo Bernteam,Hilkka Salohalla,13.0,1
Apollo Bernteam,Johnny Andersson,13.0,1
Apollo Bernteam,Jo Schepers,13.0,1
Apollo Bernteam,Marja Talvitie,13.0,1
Apollo Bernteam,Seamus Oates,13.0,1
Apollo Bernteam,Antonio Rojo Fajardo,13.0,1
Apollo Bernteam,Eugeny Kuplyauskas,13.0,1
Apollo Bernteam,Des Manton,13.0,1
Apollo Bernteam,Adolfo Martinez Noguera,13.0,1
Apollo Bernteam,Peter van Montfoort,4.0,1
Apollo Bernteam,Malgorzata Supronowicz,13.0,1
Apollo Bernteam,Satu Ylä-Mononen,13.0,1
Apollo Bernteam,Petru Muntean,13.0,1
Apollo Bernteam,Péter Harsányi,13.0,1
Apollo Bernteam,Monika Blaha,13.0,1
Apollo Bernteam,Beata Petkevica,13.0,1
Apollo Bernteam,Miroslaw Redlicki,4.0,1
Apriori Donnerhall,Bo Skalin,4.0,1
Apriori Donnerhall,Helen Tonkson-Koit,4.0,1
Apriori Donnerhall,Liliane de Ridder-Onghena,4.0,1
Apriori Donnerhall,Torsten Lemmer,13.0,1
Apriori Donnerhall,Mile Aleksoski,13.0,1
Apriori Donnerhall,Hans-Erhard Grüttner,13.0,1
Apriori Donnerhall,Marjatta Pylvänäinen-Suorsa,13.0,1
Apriori Donnerhall,Rade Vesic,4.0,1
Apriori Donnerhall,Eva Liljekvist Borg,13.0,1
Apriori Donnerhall,Olena Chuieva,13.0,1
Apriori Donnerhall,Juta Haranen,4.0,1
Apriori Donnerhall,Kostadin Shankov,13.0,1
Apriori Donnerhall,Nenad Matejevic,13.0,1
Apriori Donnerhall,Hedi Kumm,13.0,1
Apriori Donnerhall,Marek Lewandowski,13.0,1
Apriori Donnerhall,Nina Karlsdotter,13.0,1
Apriori Donnerhall,Michael Camac,4.0,1
Apriori Donnerhall,Petra Junehall,4.0,1
Apriori Donnerhall,Galyna Kalinichenko,4.0,1
Apriori Donnerhall,Bonka Georgieva Laslo,4.0,1
Apriori Donnerhall,Elena Agafonova,4.0,1
Apriori Donnerhall,Ligita Zake,13.0,1
Apriori Donnerhall,Dina Korna,13.0,1
Apriori Donnerhall,Avi Mallach,4.0,1
Apriori Donnerhall,Sarah Burns,13.0,1
Apriori Donnerhall,Linda Jürgens,4.0,1
Apriori Donnerhall,Pars Kibarer,4.0,1
Apriori Donnerhall,Karl-Erik Johansson,13.0,1
Apriori Donnerhall,Paula Heikkinen-Lehkonen,13.0,1
Apriori Donnerhall,Sviatlana Radziuk,4.0,1
Apriori Donnerhall,Gerard O'shea,4.0,1
Apriori Donnerhall,Aire-Piret Pärn,4.0,1
Apriori Donnerhall,Audrone Babianskiene,4.0,1
Apriori Donnerhall,Natalia Sedykh,4.0,1
Apriori Donnerhall,Istvanne Juhasz,4.0,1
Apriori Donnerhall,Olga Kojevnikova,4.0,1
Apriori Donnerhall,Panos Demetriou,4.0,1
Apriori Donnerhall,Myriam Vermeire,4.0,1
Apriori Donnerhall,Dragana Vasiljevic,13.0,1
Apriori Donnerhall,Tino Pehar,13.0,1
Apriori Donnerhall,Igoris Zizevskis,4.0,1
Apriori Donnerhall,Csaba Zsolt Lokodi,13.0,1
Apriori Donnerhall,Roger Vanhoenacker,4.0,1
Apriori Donnerhall,Shyam Mehta,4.0,1
Apriori Donnerhall,Sanja Momčilović Bognič,13.0,1
Apriori Donnerhall,Carmen Navarro Guisado,13.0,1
Apriori Donnerhall,Svante Frisk,13.0,1
Apriori Donnerhall,Volodymyr Shiyan,13.0,1
Apriori Donnerhall,Refet Hadzic,13.0,1
Apriori Donnerhall,Elin Normannseth,4.0,1
Apriori Donnerhall,Melita Grošelj,13.0,1
Apriori Donnerhall,Manola Poggesi,4.0,1
Apriori Donnerhall,Hans Almgren,4.0,1
Apriori Donnerhall,Tina Peixoto,4.0,1
Apriori Donnerhall,Lessi Tchistiakova,4.0,1
Apriori Donnerhall,Sergej Vanzha,4.0,1
Apriori Donnerhall,Sebastian Harnik,4.0,1
Apriori Donnerhall,Angel Pons Arino,4.0,1
Apriori Donnerhall,Helina Simberg,4.0,1
Apriori Donnerhall,Vija Klučniece,4.0,1
Apriori Donnerhall,Olga Dolejšova,4.0,1
Apriori Donnerhall,Gunnar Nymann,4.0,1
Apriori Donnerhall,Massimo Inzoli,4.0,1
Apriori Donnerhall,Kimmo Mustonen,4.0,1
Apriori Donnerhall,Oliver Simon,4.0,1
Apriori Donnerhall,Krystyna Opara,4.0,1
Apriori Donnerhall,Branislav Rajic,4.0,1
Apriori Donnerhall,Pedro Ivo Santos Bispo,13.0,1
Apriori Donnerhall,Inese Pablaka,4.0,1
Apriori Donnerhall,Regina Vaitkunskiene,4.0,1
Apriori Donnerhall,Lisbet Utke Ramsing,13.0,1
Apriori Donnerhall,Elena Ruskovaara,4.0,1
Apriori Donnerhall,Olga Kupriyanova Sinko,4.0,1
Apriori Donnerhall,Galina Zhuk,4.0,1
Apriori Donnerhall,Tanya Ahlman,4.0,1
Apriori Donnerhall,Tatjana Romanovskaya,4.0,1
Apriori Donnerhall,Igor Mioč,13.0,1
Apriori Donnerhall,Colette Muldoon,13.0,1
Apriori Donnerhall,Elizabeth Wogan,4.0,1
Apriori Donnerhall,Nina Kharatishvili,4.0,1
Apriori Donnerhall,Zorica Blomqvist,4.0,1
Apriori Donnerhall,Fabrizio La Rocca,4.0,1
Apriori Donnerhall,Alvar Ristikivi,4.0,1
Apriori Donnerhall,Yulija Pokrovskaya,4.0,1
Apriori Donnerhall,Malgorzata Halas,4.0,1
Apriori Donnerhall,Carlos Fernandez-Renau,13.0,1
Apriori Donnerhall,Anatoli Zhuk,4.0,1
Apriori Donnerhall,Livija Zizevske,4.0,1
Apriori Donnerhall,Fernando Quilis Bonet,13.0,1
Apriori Donnerhall,Boris Baic,13.0,1
Apriori Donnerhall,Nikolay Sedykh,4.0,1
Apriori Donnerhall,Sanna Vakkilainen,4.0,1
Apriori Donnerhall,Jane Serafimov,4.0,1
Apriori Donnerhall,Slobodan Miloshevski,13.0,1
Apriori Donnerhall,Lisbeth Mach,4.0,1
Apriori Donnerhall,Reet Lint,4.0,1
Apriori Donnerhall,Hassi Assenmacher-Feyel,13.0,1
Apriori Donnerhall,Brenda Banbury,13.0,1
Apriori Donnerhall,John R. Walsh,4.0,1
Apriori Donnerhall,Alfonso Castells,4.0,1
Apriori Donnerhall,Marie Clair Walsh,13.0,1
Apriori Donnerhall,Marina Ostrovskaya,13.0,1
Apriori Donnerhall,Anna Rogowska,4.0,1
Apriori Donnerhall,Victoria Pohodina,4.0,1
Apriori Donnerhall,Maria Amelia Taborda,4.0,1
Apriori Donnerhall,Silvia Weber-Martegani,13.0,1
Apriori Donnerhall,Tapio Eerola,4.0,1
Apriori Donnerhall,Maria Viarbitskaya,13.0,1
Apriori Donnerhall,Anca Giura,4.0,1
Apriori Donnerhall,Elzbieta Chwalibog,4.0,1
Apriori Donnerhall,Viktoras Avtuško,4.0,1
Apriori Donnerhall,Rafael Malo Alcrudo,13.0,1
Apriori Donnerhall,Jose Homem De Mello,4.0,1
Apriori Donnerhall,Bojan Matakovic,4.0,1
Apriori Donnerhall,Saija Juutilainen,13.0,1
Apriori Donnerhall,Dubravka Reicher,4.0,1
Apriori Donnerhall,Giuliano Biasiolo,13.0,1
Apriori Donnerhall,Anna Kochan,13.0,1
Apriori Donnerhall,Oleg Yanchev,13.0,1
Apriori Donnerhall,Ludmila Krakovskaya,13.0,1
Apriori Donnerhall,Vladimir Piskay,4.0,1
Apriori Donnerhall,Petrus Roosenboom,4.0,1
Apriori Donnerhall,Guenther Ehrenreich,4.0,1
Apriori Donnerhall,Andi Hudono,13.0,1
Apriori Donnerhall,Andrzej Stepinski,13.0,1
Apriori Donnerhall,Jari Laakso,4.0,1
Apriori Donnerhall,Paul Lawless,4.0,1
Apriori Donnerhall,Uschi Eisner,4.0,1
Apriori Donnerhall,Norman Deschuymere,13.0,1
Apriori Donnerhall,John Muldoon,13.0,1
Apriori Donnerhall,Maite Gonzalbo Lorenzo,4.0,1
Apriori Donnerhall,Sunde Marit,4.0,1
Apriori Donnerhall,Per Kristian Andersen,13.0,1
Apriori Donnerhall,Astrid Lundava,13.0,1
Apriori Donnerhall,Christian Jouanchicot,13.0,1
Apriori Donnerhall,Dick Baars,4.0,1
Apriori Donnerhall,John Williams,4.0,1
Apriori Donnerhall,Zoltan Baffia,4.0,1
Apriori Donnerhall,Antoan Hlebarov,13.0,1
Apriori Donnerhall,Maija Heinilä,13.0,1
Apriori Donnerhall,Hans Bierwolf,13.0,1
Apriori Donnerhall,Michael Leonard,4.0,1
Apriori Donnerhall,Calin Simu,4.0,1
Apriori Donnerhall,Massimiliano Mannucci,13.0,1
Apriori Donnerhall,Anthony Kelly,13.0,1
Apriori Donnerhall,Igor Vyguzov,13.0,1
Apriori Donnerhall,Vera Smirnova,13.0,1
Apriori Donnerhall,Dirk Spruyt,4.0,1
